text,label
experts say covid-19 cases have surged in spain because businesses reopened too soon and public gatherings were allowed to happen without proper safety precautions .. ,1
increasing number of healthcare experts say they re concerned fda may give emergency use authorization eua to covid-19 vaccine before all vital data regarding its safety and effectiveness is available .. ,1
fatigue and body aches are symptoms of both flu and new coronavirus but flu usually does nt cause shortness of breath .. ,1
researchers say women are more likely than men to get flu shot. they add that whites and asians also have higher rates of immunization. ,1
as some schools are ordered to reopen many teachers are facing concerns about their health as well as covid-19 dangers to students and their families .. ,1
fda has issued emergency use authorization for abbott laboratorys rapid covid-19 test. its inexpensive and results can be read within minutes. however its not as accurate as tests sent to lab. ,1
medical experts reported in medical journal bmj that there are many situations where 6 feet is not enough to keep your risk low during covid-19 pandemic .. ,1
even with new safety guidelines in place health experts say going to movies is very risky during pandemic .. ,1
33-year old man in hong kong contracted new coronavirus second time just 4 1/2 months after recovering from his first infection. though anecdotal stories about potential reinfection have recently been circulating this is first documented case of sars cov-2 reinfection. ,1
researchers are looking into why new coronavirus appears to affect cardiovascular system as well as respiratory system .. ,1
rapid coronavirus testing is nt most accurate way to detect virus .. ,1
centers for disease control and prevention cdc is now advising that most people who ve been exposed to covid-19 but do nt have symptoms may not need to be tested .. ,1
experts say it 's common for family members to have differing opinions about how best to protect kids from covid-19 pandemic but it 's best to clearly state your boundaries and stick to them .. ,1
these are types of common face masks experts say can be easily disinfected at home for reuse and how to do it safely .. ,1
experts recommend people who are struggling with mental health issues during covid-19 try to avoid becoming socially isolated and look for uplifting moments in their week .. ,1
family members say one of hardest parts of their anguish is that they were n't able to be with their loved ones when they died from covid-19 .. ,1
doctors believe that physical and emotional stress that accompanies case of covid-19 may lead to reversible hair loss condition called telogen effluvium .. ,1
if you re one of many people who ve joined social bubble or pod during pandemic you may want to reconsider number of people you re interacting with as new surges occur .. ,1
experts say its important to research safety protocols of airlines as well as wearing mask and maintaining physical distancing on plane and in terminal .. ,1
fda states that wawona brand peaches should be discarded and not be sold served or eaten. surfaces that peaches have touched should also be sanitized. ,1
recent guidance from cdc says getting vaccinated before september is too early especially for older folks because it may reduce protection later on during flu season .. ,1
flu viruses change enough every year that previous years vaccine no longer confers immunity. they add that antibody response against influenza can naturally fade after year which is another reason its important to be vaccinated before flu season begins. ,1
kristin urquiza started organization marked by covid after her fathers death in late june from illness .. ,1
new tests can produce results in matter of hours allowing people to get treatment sooner if they test positive or return to work if they test negative .. ,1
researchers analyzed data from over 50.000 patients with covid-19 and compared their symptoms with previous records from people who had flu to find that covid-19 symptoms occur in particular order .. ,1
crowded conditions in shelters and other shared residences facilitate spread of infectious diseases including covid-19 .. ,1
experts say viruses need host to survive so they do nt live long in cold temperatures or in sunlight .. ,1
detailed plan by biden presidential campaign to fight covid-19 relies on science agency cooperation and increased funding to battle pandemic. ,1
