facts_url,text
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Spraying chlorine or alcohol on the skin kills viruses in the body"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Only older adults and young people are at risk"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Children cannot get COVID-19"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""COVID-19 is just like the flu"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Everyone with COVID-19 dies"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Cats and dogs spread coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Face masks always protect against coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Hand dryers kill coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""SARS-CoV-2 is just a mutated form of the common cold"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You have to be with someone for 10 minutes to catch the virus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Rinsing the nose with saline protects against coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can protect yourself by gargling bleach"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Antibiotics kill coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Thermal scanners can diagnose coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Garlic protects against coronaviruses"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Parcels from China can spread coronavirus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Home remedies can cure and protect against COVID-19"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can catch coronavirus from eating Chinese food in the US"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can catch coronavirus from urine and feces"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""The virus will die off when temperatures rise in the spring"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Coronavirus is the deadliest virus known to humans"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Flu and pneumonia vaccines can protect against COVID-19"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""The virus originated in a laboratory in China"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""The outbreak began because people ate bat soup"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""5G helps SARS-CoV-2 spread"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Drinking alcohol reduces the risk of infection"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Injecting or consuming bleach or disinfectant kills the virus"""
https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,You can catch coronavirus in swimming pools
