facts_url,text
https://healthfeedback.org/claimreview/false-claim-shared-by-president-trump-that-only-6-of-cdc-reported-deaths-are-from-covid-19-is-based-on-flawed-reasoning/,The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone
https://factcheck.afp.com/trump-retweets-false-claim-cdc-cut-covid-19-death-toll-94,"Social media posts shared thousands of times and retweeted by President Donald Trump claim the U.S Centers for Disease Control and Prevention cut the national COVID-19 death toll by 94%, citing a CDC comorbidity chart."
https://www.factcheck.org/2020/09/cdc-did-not-admit-only-6-of-recorded-deaths-from-covid-19/,"The CDC updated the COVID-19 number to admit that only 6% of all the 153,504 deaths recorded actually died from COVID-19."
https://healthfeedback.org/claimreview/masks-offer-only-partial-protection-from-the-virus-that-causes-covid-19-but-their-effectiveness-can-be-enhanced-with-other-measures-like-physical-distancing/,"Either masks work or they don’t; if masks work, then physical distancing and lockdowns are unnecessary."
https://healthfeedback.org/claimreview/human-dna-alone-does-not-produce-a-positive-result-on-the-rt-pcr-test-for-sars-cov-2/,"The RT-PCR test for the virus that causes COVID-19 detects human DNA on chromosome 8, therefore all tests will give a positive result"
https://healthfeedback.org/claimreview/altered-image-falsely-suggests-that-restaurant-staff-in-maine-are-required-to-wear-dog-cone-style-face-visors-to-protect-against-covid-19/,The Governor of Maine has ordered restaurant staff to wear dog cone-style face visors as a precautionary measure against COVID-19.
https://healthfeedback.org/claimreview/people-infected-with-sars-cov-2-can-transmit-the-virus-to-others-even-if-they-do-not-show-symptoms-of-the-disease-and-are-not-considered-sick/,The greatest trick the U.S. CDC ever pulled was convincing the world you can be sick without having symptoms.
https://healthfeedback.org/claimreview/a-vaccine-against-sars-cov-2-would-be-useful-even-if-the-survival-rate-from-covid-19-is-high/,"The survival rate of COVID-19 is close to 100% without a vaccine, so what exactly will the purpose of the new vaccine be?"
https://factcheck.afp.com/misleading-claims-about-covid-19-vaccine-spread-plandemic-video,Misleading claims about COVID-19 vaccine spread by ‘Plandemic’ video
https://www.factcheck.org/2020/08/posts-take-old-photos-of-biden-harris-out-of-context/,"Photos show Democratic presidential nominee Joe Biden and his running mate, Sen. Kamala Harris, are not abiding by public health recommendations regarding face masks."
https://factcheck.afp.com/posts-criticize-democrats-not-wearing-masks-time-when-they-werent-recommended,"Facebook posts shared tens of thousands of times during the Democratic National Convention criticize Joe Biden, Kamala Harris, and other top Democrats for appearing in a crowd without masks."
https://www.factcheck.org/2020/10/ugandas-low-covid-19-cases-due-to-restrictions-not-hydroxychloroquine/,"“Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths.”"
https://healthfeedback.org/claimreview/listicle-of-facts-about-covid-19-contains-numerous-inaccurate-and-misleading-claims/,The overall lethality of COVID-19 (infection fatality rate) is about 0.1% to 0.3% and thus in the range of a severe influenza; up to 60% of all persons may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses (i.e. cold viruses); there is still little to no scientific evidence for the effectiveness of cloth face masks in healthy and asymptomatic individuals
https://healthfeedback.org/claimreview/current-covid-19-mortality-rate-does-not-predict-the-future-probability-of-dying-from-the-disease/,Our chance of not dying from COVID-19 is 99.96%
https://healthfeedback.org/claimreview/vaccines-undergo-strict-safety-testing-before-they-are-licensed-for-use-in-the-u-s-and-many-other-countries-no-validity-to-the-claim-of-a-33-death-rate-from-covid-19-vaccine/,Would you take a vaccine with a 33% death rate to feel safe from a virus with a 0.06% death rate?
https://healthfeedback.org/claimreview/swedens-covid-19-mortality-is-higher-than-in-most-european-countries-no-evidence-whether-or-how-the-absence-of-lockdown-impacted-this-outcome/,"Sweden has a lower COVID-19 death rate than Spain, Italy and the U.K., even though it never had a lockdown"
https://healthfeedback.org/claimreview/flawed-study-incorrectly-claims-that-countries-adopting-hydroxychloroquine-as-a-treatment-for-covid-19-experienced-reduced-mortality-rates/,"A large, country-randomized controlled trial with 2.7 billion people shows that COVID-19 patients treated with hydroxychloroquine have a 79.1% lower death rate"
https://factcheck.afp.com/face-mask-use-does-not-lead-legionnaires-disease,"Posts shared thousands of times on social media claim Legionnaires’ disease, a serious type of pneumonia, can be contracted through reusable face masks, implying that it could be mistaken for COVID-19."
https://factcheck.afp.com/comments-coronavirus-measures-falsely-attributed-fox-news-host-tucker-carlson,Social media posts shared thousands of times attribute comments criticizing coronavirus measures to Fox News host Tucker Carlson.
https://factcheck.afp.com/fake-who-document-shared-anti-mask-posts,An image appearing to be an publication by the World Health Organization (WHO) shows that the global health body does not recommend mask-wearing during the COVID-19 pandemic.
https://healthfeedback.org/claimreview/wearing-masks-aims-at-slowing-sars-cov-2-circulation-not-protecting-against-a-certain-death/,"If masks were effective and necessary, non-mask wearers should be dead by now"
https://factcheck.afp.com/us-far-reaching-herd-immunity-covid-19,A Facebook post shared thousands of times claims the United States has reached herd immunity for COVID-19.
