facts_url,text
https://factcheck.afp.com/false-advice-refusing-vaccines-circulates-during-covid-19-pandemic,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.
https://www.politifact.com/factchecks/2020/apr/21/wisconsin-republican-legislative-leaders/no-wisconsin-not-clearly-seeing-decline-covid-case/,Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.
https://factcheck.afp.com/posts-claim-children-covid-19-must-go-hospitals-alone,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.
https://checkyourfact.com/2020/04/20/fact-check-india-banned-people-posting-coronavirus-social-media/,IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.
https://checkyourfact.com/2020/04/20/fact-check-44-senators-vote-against-sending-coronavirus-stimulus-payments/,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package."
https://www.facebook.com/photo.php?fbid=215655016552548&set=gm.840476409781728&type=3&theater&ifg=1,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.
https://www.factcheck.org/2020/04/photo-of-lebanese-reporter-used-to-criticize-u-s-media/,A picture of a reporter in protective medical gear is an example of how the American media ÒhypesÓ the COVID-19 pandemic.
https://www.politifact.com/factchecks/2020/apr/21/viral-image/yes-photo-jacksonville-beach-during-pandemic/,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÕt from after the government reopened the beach as news reports have claimed."
https://www.politifact.com/factchecks/2020/apr/20/facebook-posts/news-photo-stay-home-protest-was-not-doctored/,News photo from stay-at-home protest was doctored to add Confederate flag.
https://www.politifact.com/factchecks/2020/apr/20/facebook-posts/website-glitch-fueling-conspiracy-theory-about-cor/,"Says a photo shows the ÒSAME EXACT PEOPLEÓ at Òtwo different beachesÓ in Los Angeles County and Jacksonville, Florida."
https://www.politifact.com/factchecks/2020/apr/21/viral-image/no-isnt-photo-pregnant-woman-covid-19/,ÒMy wife is suffering from coronavirus and she is pregnant. The doctor said she wonÕt survive it.Ó
https://www.washingtonpost.com/politics/2020/04/22/did-trump-ship-17-tons-american-masks-china/,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.
https://checkyourfact.com/2020/04/17/fact-check-eucalyptus-vapor-prevent-coronavirus/,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.
https://checkyourfact.com/2020/04/17/fact-check-goodwill-fire-all-employees-coronavirus/,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.
https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/no-proof-yet-post-election-surge-coronavirus-cases/,Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases
https://healthfeedback.org/claimreview/claim-by-nobel-laureate-luc-montagnier-that-the-novel-coronavirus-is-man-made-and-contains-genetic-material-from-hiv-is-inaccurate/,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).
https://www.washingtonpost.com/politics/2020/04/21/trumps-bizarre-effort-tag-obamas-swine-flu-response-disaster/,TrumpÕs claim that ObamaÕs handling of the 2009 swine flu pandemic was a disaster.
https://twitter.com/parscale/status/1250559631665115137,"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco."""
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Pelosi-Did-NOT-Delete-Video-Urging-Visits-To-Chinatown-During-COVID-19.html,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco."
https://checkyourfact.com/2020/04/16/fact-check-fda-authorize-bodysphere-two-minute-coronavirus-test/,The Food and Drug Administration (FDA) authorized BodysphereÕs two-minute COVID-19 testing kit.
https://factcheck.afp.com/trump-did-not-post-tweet-about-h1n1-pandemic-2009,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÕs handling of the H1N1 pandemic and placing ÒALL responsibilityÓ on presidents in a crisis."
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Amazon's-Alexa-Does-Not-Say-'The-Government'-Released-Coronavirus.html,AmazonÕs Alexa says the government released the coronavirus.
https://www.politifact.com/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/,"In the United States, there are Ò360,000 (deaths) a year from swimming pools. But we donÕt shut the country down for that.Ó"
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Some-Hospitals-Compensated-For-COVID-19-Patients-Under-Stimulus-But-NO-Evidence-NYC-Hospitals-Inflating-Coronavirus-Numbers.html,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.
https://healthfeedback.org/viral-video-promotes-the-unsupported-hypothesis-that-sars-cov-2-is-a-bioengineered-virus-released-from-a-wuhan-research-laboratory/,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).
https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/democrats-arent-refusing-return-vacation-all-congr/,Says Democrats are on vacation until May 4 and Òrefuse to come backÓ to sign a bill to help small businesses.
https://www.politifact.com/factchecks/2020/apr/15/kellyanne-conway/kellyanne-conway-misleads-name-covid-19-says-its-n/,"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó"
https://checkyourfact.com/2020/04/15/fact-check-thieves-face-masked-doused-chemicals-rob-people/,Thieves are handing out chemically doused face masks to knock people out before robbing them.
https://www.factcheck.org/2020/04/stimulus-checks-wont-reduce-future-tax-refunds/,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Valley-County-Montana-Did-NOT-Mandate-Pink-Arm-Bands-For-All-To-Enter-Stores-Did-Revise-Confusing-Flier.html,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol."
https://www.politifact.com/factchecks/2020/apr/14/kathy-hochul/hochul-rewrites-history-ventilator-claim/,"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó"
https://www.washingtonpost.com/politics/2020/04/17/trumps-false-claim-that-who-said-coronavirus-was-not-communicable/,TrumpÕs claims about how quickly WHO acted to announce human-to-human transmission
https://checkyourfact.com/2020/04/14/fact-check-video-orangutan-learned-wash-hands-coronavirus/,Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.
https://www.factcheck.org/2020/04/reports-didnt-misrepresent-one-mans-death-as-two/,"The news media has tried to pass off one manÕs death, attributed to complications from COVID-19, as two separate cases."
https://www.politifact.com/factchecks/2020/apr/14/facebook-posts/michiganders-arent-banned-buying-american-flags/,ÒMichigan Governor Gretchen Whitmer bans buying US flags during lockdown.Ó
https://www.politifact.com/factchecks/2020/apr/14/rick-santorum/rick-santorum-said-trump-was-ahead-curve-china-tra/,"ÒThe president looks like he was ahead of the curve Ð as you know, he talks about this all the time Ð on shutting down travel from China.Ó"
https://www.politifact.com/factchecks/2020/apr/22/facebook-posts/joe-diffie-died-covid-19-complications/,Joe DiffieÕs death was labeled Òas a COVID-19 death and it wasnÕt!Ó
https://www.politifact.com/factchecks/2020/apr/14/donald-trump/trumps-ridiculous-statement-about-total-authority-/,Trump says that as president he has ÒtotalÓ authority to re-open states amid the COVID-19 pandemic.
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Officials-NOT-Wrong-To-Impose-Safety-Measures-And-COVID-19-IS-A-Pandemic.html,"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic."
https://www.politifact.com/factchecks/2020/apr/13/donald-trump/trumps-false-claim-its-him-not-governors-open-stat/,"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó"
https://www.politifact.com/factchecks/2020/apr/15/youtube-videos/no-you-dont-have-pay-back-your-stimulus-check/,"The US $1,200 coronavirus relief checks this year are Òjust an advance on your next tax return. É Next year, youÕre automatically going to owe $1,200 come tax season.Ó"
https://www.politifact.com/factchecks/2020/apr/15/facebook-posts/facebook-posts-falsely-claim-dr-fauci-has-millions/,Says American NIAID director Dr. Anthony Fauci Òstands to lose 100 million dollars on Bill Gates ÔvaccineÕ for the coronavirus. Because he invested in this vaccine.Ó
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Numbers-Do-NOT-Show-Coronavirus-Pandemic-Is-Greatest-'Con'.html,Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Michigan-Governor-Did-NOT-Ban-Sale-Of-American-Flags-During-Coronavirus-Outbreak.html,Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.
https://factcheck.afp.com/photo-does-not-show-throat-infected-novel-coronavirus,A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.
https://leadstories.com/hoax-alert/2020/04/Fact-Check-COVID-19-Stimulus-Checks-NOT-An-Advance-On-Next-Year's-Tax-Refund.html,COVID-19 stimulus checks are an advance on 2020 tax refunds.
https://www.politifact.com/factchecks/2020/apr/13/deanna-lorraine/tweet-amplified-trump-misleads-faucis-late-februar/,Dr. Anthony Fauci Òwas telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.Ó
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Sex-Lines-Do-NOT-Have-Stimulus-Checks-Information.html,Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.
https://www.politifact.com/factchecks/2020/apr/15/facebook-posts/covid-order-doesnt-ban-gardening-or-sale-seeds-and/,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Mosques-NOT-Allowed-To-Stay-Open-While-Churches-Close-During-COVID-19.html,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.
https://leadstories.com/hoax-alert/2020/04/fact-check-15-global-pandemics-did-not-all-originate-in-china.html,15 major global pandemics all originated in China.
https://leadstories.com/hoax-alert/2020/04/fact-check-occupy-democrats-occupy-democrats-82m-likes-occupy-democrats-a-merger.html,President Donald Trump referred to the coronavirus as a ÒhoaxÓ or Òpolitical conspiracy.Ó
https://leadstories.com/hoax-alert/2020/04/fact-check-pentagon-did-not-confirm-coronavirus-accidentally-got-into-chemtrail-supply-chain.html,Pentagon confirms coronavirus accidentally got into chemtrail supply train.
https://leadstories.com/hoax-alert/2020/04/Fact-Check-There-Is-NO-Evidence-China-Created-Then-Unleashed-Coronavirus-As-Bioweapon.html,ChinaÕs Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.
https://www.politifact.com/factchecks/2020/apr/14/viral-image/isnt-video-gay-party-italy-just-pandemic/,Viral publication says a video shows a Ògay party in Italy few weeks before COVID-19.Ó
https://www.politifact.com/factchecks/2020/apr/17/tweets/michigan-residents-can-still-buy-car-seats/,"ÒPer order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.Ó"
https://www.politifact.com/factchecks/2020/apr/13/facebook-posts/no-seven-children-senegal-didnt-die-after-covid-19/,ÒMass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.Ó
https://leadstories.com/hoax-alert/2020/04/Fact-Check-Soap-And-Hand-Sanitizer-Are-NOT-A-Cure-For-Coronavirus.html,Soap and hand sanitizer can be used to kill coronavirus in the body.
