facts_url,text
https://www.healthline.com/health-news/what-we-can-learn-from-the-resurgence-of-covid-19-in-spain,experts say covid-19 cases have surged in spain because businesses reopened too soon and public gatherings were allowed to happen without proper safety precautions .. 
https://www.healthline.com/health-news/why-approving-a-covid-19-vaccine-too-early-could-cause-more-harm-than-good,increasing number of healthcare experts say they re concerned fda may give emergency use authorization eua to covid-19 vaccine before all vital data regarding its safety and effectiveness is available .. 
https://www.healthline.com/health-news/flu-allergies-coronavirus-different-symptoms,fatigue and body aches are symptoms of both flu and new coronavirus but flu usually does nt cause shortness of breath .. 
https://www.healthline.com/health-news/flu-study-highlights-difficulty-of-achieving-covid-19-herd-immunity,researchers say women are more likely than men to get flu shot. they add that whites and asians also have higher rates of immunization. 
https://www.healthline.com/health-news/resign-or-return-the-dilemma-facing-classroom-teachers-in-our-covid-19-era,as some schools are ordered to reopen many teachers are facing concerns about their health as well as covid-19 dangers to students and their families .. 
https://www.healthline.com/health-news/fda-approves-5-covid-19-test-that-gives-results-in-15-minutes,fda has issued emergency use authorization for abbott laboratorys rapid covid-19 test. its inexpensive and results can be read within minutes. however its not as accurate as tests sent to lab. 
https://www.healthline.com/health-news/staying-6-feet-apart-often-isnt-enough-during-covid-19-pandemic,medical experts reported in medical journal bmj that there are many situations where 6 feet is not enough to keep your risk low during covid-19 pandemic .. 
https://www.healthline.com/health-news/despite-new-safety-guidelines-experts-say-movie-theaters-are-high-risk,even with new safety guidelines in place health experts say going to movies is very risky during pandemic .. 
https://www.healthline.com/health-news/yes-you-can-get-covid-19-again,33-year old man in hong kong contracted new coronavirus second time just 4 1/2 months after recovering from his first infection. though anecdotal stories about potential reinfection have recently been circulating this is first documented case of sars cov-2 reinfection. 
https://www.healthline.com/health-news/blood-thinners-blood-pressure-meds-may-improve-covid-19-survival-rate,researchers are looking into why new coronavirus appears to affect cardiovascular system as well as respiratory system .. 
https://www.healthline.com/health-news/fast-isnt-always-better-experts-worry-about-rise-of-rapid-covid-19-testing,rapid coronavirus testing is nt most accurate way to detect virus .. 
https://www.healthline.com/health-news/cdc-changes-covid-19-testing-guidelines-worrying-experts,centers for disease control and prevention cdc is now advising that most people who ve been exposed to covid-19 but do nt have symptoms may not need to be tested .. 
https://www.healthline.com/health-news/what-to-do-when-you-clash-with-your-kids-grandparents-about-covid19,experts say it 's common for family members to have differing opinions about how best to protect kids from covid-19 pandemic but it 's best to clearly state your boundaries and stick to them .. 
https://www.healthline.com/health-news/how-to-safely-sanitize-every-type-of-face-mask,these are types of common face masks experts say can be easily disinfected at home for reuse and how to do it safely .. 
https://www.healthline.com/health-news/suicidal-ideation-is-increasing-during-covid-19-how-best-to-cope,experts recommend people who are struggling with mental health issues during covid-19 try to avoid becoming socially isolated and look for uplifting moments in their week .. 
https://www.healthline.com/health-news/families-of-people-who-died-from-covid-19-talk-about-their-anguish,family members say one of hardest parts of their anguish is that they were n't able to be with their loved ones when they died from covid-19 .. 
https://www.healthline.com/health-news/covid-19-survivors-are-losing-their-hair-heres-why,doctors believe that physical and emotional stress that accompanies case of covid-19 may lead to reversible hair loss condition called telogen effluvium .. 
https://www.healthline.com/health-news/why-shrinking-your-social-bubble-may-be-necessary-right-now,if you re one of many people who ve joined social bubble or pod during pandemic you may want to reconsider number of people you re interacting with as new surges occur .. 
https://www.healthline.com/health-news/what-you-need-to-know-if-you-plan-to-fly-on-an-airplane-during-covid-19,experts say its important to research safety protocols of airlines as well as wearing mask and maintaining physical distancing on plane and in terminal .. 
https://www.healthline.com/health-news/peaches-suspected-in-salmonella-outbreak-in-9-states,fda states that wawona brand peaches should be discarded and not be sold served or eaten. surfaces that peaches have touched should also be sanitized. 
