facts_url,text
https://www.healthline.com/health-news/coronavirus-live-updates,the new coronavirus disease outbreak first identified in china has become a pandemic. stay up to date with the latest updates on covid-19. 
https://www.healthline.com/health-news/screen-time-doesnt-hurt-kids-social-skills,new research found that school age children in 2010 despite the time spent on smartphones and social media are as socially skilled as those at the same age in 1998 .. 
https://www.healthline.com/health-news/heres-exactly-where-were-at-with-vaccines-and-treatments-for-covid-19,scientists around the world are working on a number of vaccines and treatments for covid-19 .. 
https://www.healthline.com/health-news/heres-what-happens-to-the-body-after-contracting-the-coronavirus,heres what we know so far about how covid-19 affects the different systems in the body .. 
https://www.healthline.com/health-news/why-you-should-be-skeptical-of-leaked-results-of-covid-19-drug,with no approved treatment specific for covid-19 and no vaccine against the virus that causes it a new report has raised hopes that a treatment called remdesivir is just over the horizon. but experts caution against reading too much into this. 
https://www.healthline.com/health-news/what-your-social-media-posts-reveal-about-how-youre-dealing-with-covid-19,here 's how our social media posts reveal how we 're psychologically and emotionally handling situations like the covid-19 pandemic without us realizing it .. 
https://www.healthline.com/health-news/rural-america-hardest-hit-by-covid-19-outbreak,experts say rural areas have older populations that are less healthy and have fewer medical facilities than urban and suburban regions .. 
https://www.healthline.com/health-news/dont-use-unproven-medications-to-treat-covid-19,a tweet by president trump heightened interest in an antimalarial drug as a possible treatment for covid-19 but experts say more research is needed and people should not take this drug on their own .. 
https://www.healthline.com/health-news/effects-of-sunlight-coronavirus,experts say that while some studies have shown ultraviolet radiation can kill microorganisms it is not sanctioned as a covid-19 therapy and such exposure can be dangerous for your health .. 
https://www.healthline.com/health-news/what-to-do-after-recovering-from-covid-19,even for people who have officially recovered feeling 100 percent back to normal may be a long process .. 
https://www.healthline.com/health-news/cooking-chicken-safety-tips-cooking-preparing,experts say a food thermometer not the color of the meat inside the chicken is the best way to make sure cooked chicken is safe to eat .. 
https://www.healthline.com/health-news/men-more-susceptible-to-serious-covid-19-illnesses,experts say biology and behavior are among the reasons more men than women are dying from covid-19 .. 
https://www.healthline.com/health-news/what-to-know-about-covid-19-testing-right-now,a readily available effective vaccine is what s going to pull us out of the pandemic but it ll be several months until we reach that point. until then knowing who has and has had the respiratory infection is thought to be the key to reopening the economy. 
https://www.healthline.com/health-news/how-to-help-kids-cope-with-covid-stress,kids process stress and anxiety differently depending on how old they are. here 's how parents can help kids at every age. 
https://www.healthline.com/health-news/covid-19-losing-sense-of-smell,researchers say people with covid-19 have reported losing their sense of smell but that 's not the only symptom people should look for .. 
https://www.healthline.com/health-news/1-in-3-cancer-survivors-stays-at-their-job-due-to-fears-of-losing-health-insurance,experts say cancer survivors as well as their spouses and partners will experience job lock where they continue at their workplace to maintain their current health insurance .. 
https://www.healthline.com/health-news/plasma-donation-and-covid19,the fda is encouraging people who have recovered from a confirmed infection with the new coronavirus to consider donating their plasma so it can be injected into people with severe forms of the infection .. 
https://www.healthline.com/health-news/covid19-stress-parents-help-themselves-children,experts say parents should practice self care first so they are emotionally equipped to help their children deal with anxiety about covid-19 .. 
https://www.healthline.com/health-news/poison-control-calls-going-up,a new report indicates an uptick in poisoning that 's clearly associated with the spread and mounting worry of covid-19 .. 
https://www.healthline.com/health-news/the-covid-19-symptoms-most-people-could-miss,some people with covid-19 have presented with less typical symptoms including nausea diarrhea delirium chickenpox like lesions and more .. 
https://www.healthline.com/health-news/how-you-can-help-scientists-studying-covid-even-from-your-living-room,researchers at rice university are seeking volunteers for crowdsourced studies to help them better understand the impact of the pandemic and you do nt even have to leave the couch to get involved .. 
https://www.healthline.com/health-news/from-protests-to-parties-why-meeting-in-groups-is-a-terrible-idea-right-now,the cdc has referred to large gatherings as potential super spreading events that could possibly undo the progress that 's been made in the battle against covid-19 .. 
https://www.healthline.com/health-news/too-early-to-know-if-hydroxychloroquine-will-work,until we have results from larger well designed trials which are currently underway hydroxychloroquine and chloroquine should only be used under the close supervision of a physician .. 
https://www.healthline.com/health-news/covid-19-racing-through-nursing-homes-what-families-can-do,experts say nursing facilities are nt really set up to deal with a pandemic such as covid-19 .. 
https://www.healthline.com/health-news/50-percent-of-people-with-covid19-not-aware-have-virus,experts say these carriers with no symptoms allow the virus to spread more quickly and more easily. it 's one reason face masks have become more important. 
https://www.healthline.com/health-news/flu-allergies-coronavirus-different-symptoms,fatigue and body aches are symptoms of both the flu and the new coronavirus but the flu usually does nt cause shortness of breath .. 
https://www.healthline.com/health-news/what-to-know-about-controversial-study-finding-85-of-people-with-covid-dont-have-symptoms,early research in california finds up to 85 times more people in santa clara county and up to 55 times more people in los angeles may have had covid-19 than previously estimated .. 
https://www.healthline.com/health-news/covid-19-impact-on-diabetes-hospitalizations,new research has found that people with diabetes and poorly managed hyperglycemia who are hospitalized for covid-19 have a death rate and longer length of hospital stay that 's four times higher than people without these conditions .. 
https://www.healthline.com/health-news/mild-covid-19-symptoms-can-quickly-turn-serious,experts say a person with mild symptoms can quickly become seriously ill and need to be hospitalized .. 
https://www.healthline.com/health-news/how-new-parents-can-cope-with-raising-a-baby-in-covid-19-sheltering,experts say new parents need to share the load with child raising and housework. they should also seek virtual assistance from family and friends. 
https://www.healthline.com/health-news/how-covid19-is-affecting-daily-life-for-people-with-autism,while sheltering in place autistic people may be finding it harder to do daily tasks and be facing more stress than normal because the daily routine they rely on has been disrupted .. 
https://www.healthline.com/health-news/can-alcohol-hurt-your-immune-system-during-covid-19-outbreak,the world health organization and u.s. surgeon general have warned people to avoid drinking too much alcohol during the covid-19 pandemic. alcohol can have a range of harmful effects on the body which can diminish a person 's immune response and put them more at risk for covid-19. 
https://www.healthline.com/health-news/what-its-like-to-be-a-nurse-working-on-the-front-line-of-covid-19,nurses share what daily life is like for them on the front lines of the battle against covid-19 .. 
https://www.healthline.com/health-news/what-we-know-about-the-long-term-effects-of-covid-19,covid-19 can be a severe illness especially in people over 60 years of age or those with chronic diseases like diabetes and cardiovascular issues .. 
